Impact,vendor,CVE_Numbers,Vulnerabilities,field_items,Legal_Notice,summary,Equipment,Affected_Products,published_date,id
The following Yokogawa Exaopc version is affected:,"This updated advisory is a follow-up to the original advisory titled ICSA-14-260-01 Yokogawa CENTUM and Exaopc Vulnerability that was published September 17, 2014, on the NCCIC/ICS-CERT web site.",CVE-2014-5208,This vulnerability could be exploited remotely. Exploits that target this vulnerability are known to be publicly available.,--------- Begin Update A Part 1 of 2 --------,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Yokogawa CENTUM and Exaopc Vulnerability (Update A),Tod Beardsley of Rapid7 Inc. and Jim Denaro of CipherLaw have identified an authentication vulnerability and released proof-of-concept (exploit) code for the Yokogawa CENTUM CS 3000 series and Exaopc products. JPCERT and Yokogawa have mitigated this vulnerability.,The following Yokogawa CENTUM 3000 versions are affected:,"December 02, 2014",ICSA-14-260-01A
"Impact to individual organizations depends on many factors that are unique to each organization. NCCIC/ICS-CERT recommends that organizations evaluate the impact of this vulnerability based on their operational environment, architecture, and product implementation.",An anonymous researcher working with HP’s Zero Day Initiative has identified an integer overflow vulnerability in Trihedral Engineering Ltd’s VTScada application. Trihedral Engineering Limited has produced a patch that mitigates this vulnerability.,CVE-2014-9192,The following VTS and VTScada versions are affected:,,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Trihedral Engineering Limited VTScada Integer Overflow Vulnerability,This vulnerability could be exploited remotely.,"An attacker can exploit this vulnerability to cause an integer overflow, resulting in an attempt to allocate an excessively large memory block. The failure of which would terminate the VTScada server.","December 09, 2014 | Last revised: October 31, 2017",ICSA-14-343-02
"Yokogawa is a company based in Japan that maintains offices in several countries around the world, including the Americas, Europe, the Middle East, Africa, South Asia, and East Asia.","Timur Yunusov, Alexey Osipov, and Ilya Karpov of Positive Technologies Inc. have identified an XML external entity processing vulnerability in the Yokogawa FAST/TOOLS application. Yokogawa has produced a service pack that mitigates this vulnerability.",CVE-2014-7251,An attacker who exploits this vulnerability could cause data from the WebHMI server to be sent to an outside machine. An exploit could also increase the load of the WebHMI server and the network.,,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Yokogawa FAST/TOOLS XML External Entity,The following Yokogawa FAST/TOOLS versions are affected:,"Impact to individual organizations depends on many factors that are unique to each organization. NCCIC/ICS-CERT recommends that organizations evaluate the impact of this vulnerability based on their operational environment, architecture, and product implementation.","December 09, 2014 | Last revised: December 10, 2014",ICSA-14-343-01
Successful exploitation of these vulnerabilities can result in an attacker being allowed to write arbitrary code to the address of an object not normally accessible or allowable.,"This advisory was originally posted to the US-CERT secure Portal library on November 6, 2014, and is being released to the NCCIC/ICS-CERT web site.",CVE-2014-5424,These vulnerabilities could be exploited remotely.,,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Rockwell Automation Connected Components Workbench ActiveX Component Vulnerabilities,"Independent researcher Andrea Micalizzi working through ZDI has identified two custom ActiveX Component vulnerabilities in Rockwell Automation’s Connected Components Workbench (CCW) application. Rockwell Automation has produced, tested, and released a new software version that mitigates these vulnerabilities.",Computers with the following Rockwell Automation CCW software product installed are affected:,"November 11, 2014",ICSA-14-294-01
"Impact to individual organizations depends on many factors that are unique to each organization. ICS-CERT recommends that organizations evaluate the impact of this vulnerability based on their operational environment, architecture, and product implementation.","NCCIC/ICS-CERT received a report from HP’s Zero Day Initiative (ZDI) concerning command injection vulnerabilities in Schneider Electric’s ProClima software package. These vulnerabilities were reported to ZDI by security researchers Ariele Caltabiano, Andrea Micalizzi, and Brian Gorenc. Schneider Electric has produced an update version that mitigates these vulnerabilities.","CVE-2014-8513,CVE-2014-8511",The following ProClima versions are affected:,,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Schneider Electric ProClima Command Injection Vulnerabilities,These vulnerabilities could be exploited remotely.,Successfully exploiting these vulnerabilities could allow a remote attacker to execute arbitrary code.,"December 16, 2014",ICSA-14-350-01
"Impact to individual organizations depends on many factors that are unique to each organization. NCCIC/ICS-CERT recommends that organizations evaluate the impact of this vulnerability based on their operational environment, architecture, and product implementation.",Adam Crain of Automatak and Chris Sistrunk of Mandiant have identified an unhandled C++ exception in the MatrikonOPC DNP3 application. MatrikonOPC has produced a new version that mitigates this vulnerability.,CVE-2014-5426,The following MatrikonOPC Server version is affected:,,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",MatrikonOPC for DNP Unhandled C++ Exception,This vulnerability could be exploited remotely.,An attacker could potentially use this vulnerability to craft an exploit to cause a denial-of-service (DoS) loop in the MatrikonOPC Server for DNP3 Windows service. Consequences of a successful exploit would result in a disruption of OPC data until the OPC Server is manually restarted.,"November 25, 2014",ICSA-14-329-01
An attacker exploiting this vulnerability can cause the process to be disabled until it is manually restarted.,"This advisory was originally posted to the US-CERT secure Portal library on October 30, 2014, and is being released to the NCCIC/ICS-CERT web site",CVE-2014-5429,This vulnerability could be exploited remotely.,,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Elipse SCADA DNP3 Denial of Service,Independent researchers Adam Crain and Chris Sistrunk have identified a DNP3 denial‑of‑service vulnerability in the Elipse SCADA application. Elipse has produced a new version of the DNP3 driver that mitigates this vulnerability.,The following Elipse products are affected:,"December 02, 2014",ICSA-14-303-02
These vulnerabilities can be exploited remotely.,"This updated advisory is a follow-up to the updated advisory titled ICSA-13-259-01A Emerson ROC800 Multiple Vulnerabilities that was published December 2, 2014, on the NCCIC/ICS‑CERT web site.","CVE-2013-0693,CVE-2013-0692,CVE-2013-0689,CVE-2013-0694,CVE-2013-2810","Researchers Dillon Beresford, Brian Meixell, Marc Ayala, and Eric Forner, formally of Cimation, have identified multiple vulnerabilities in Emerson Process Management’s ROC800 RTU products.",--------- Begin Update B Part 1 of 2 --------,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Emerson ROC800 Multiple Vulnerabilities (Update B),"This advisory provides mitigation details for multiple vulnerabilities affecting the Emerson Process Management’s ROC800 remote terminal units (RTUs) products (ROC800, ROC800L, and DL8000).","Emerson Process Management has produced a patch that mitigates all but the authentication bypass vulnerability. The researchers who identified these vulnerabilities have tested the patch to validate that it mitigates all other vulnerabilities. As a mitigation for the authentication bypass vulnerability, Emerson Process Management recommends installing a third-party device in front of the ROC800.","December 18, 2014",ICSA-13-259-01B
"Impact to individual organizations depends on many factors that are unique to each organization. NCCIC/ICS-CERT recommends that organizations evaluate the impact of this vulnerability based on their operational environment, architecture, and product implementation.",Innominate Security Technologies has identified a privilege escalation vulnerability affecting all mGuard devices. Innominate has produced a firmware patch that mitigates this vulnerability.,CVE-2014-9193,The following Innominate mGuard firmware versions are affected:,,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Innominate mGuard Privilege Escalation Vulnerability,This vulnerability could be exploited remotely.,"Successful exploitation of this vulnerability could allow an authorized administrator to escalate privileges to execute arbitrary commands with root privileges. If the administrator and root privileged user’s roles are performed by the same individual, this limits the impact of this vulnerability.","December 18, 2014",ICSA-14-352-02
"Successful exploitation of these vulnerabilities could allow remote, unauthenticated attackers to execute arbitrary code on a vulnerable system.","Alexander Tlyapov, Gleb Gritsai, Kirill Nesterov, Artem Chaykin and Ilya Karpov of the Positive Technologies Research Team and Security Lab have identified vulnerabilities in Honeywell’s Experion Process Knowledge System (EPKS) application. Honeywell has produced several patch updates (R400.6, R410.6 and 430.6) that resolve these vulnerabilities.","CVE-2014-9187,CVE-2014-9189,CVE-2014-5435,CVE-2014-5436,CVE-2014-9186",The following Honeywell Experion PKS versions are affected:,,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Honeywell Experion PKS Vulnerabilities,These vulnerabilities could be exploited remotely.,Note - Experion PKS R311.2 is impacted by these vulnerabilities but is no longer supported by Honeywell. Customers running Experion PKS R311.2 should upgrade to a supported version of Experion PKS.,"December 18, 2014",ICSA-14-352-01
"Impact to individual organizations depends on many factors that are unique to each organization. NCCIC/ICS-CERT recommends that organizations evaluate the impact of this vulnerability based on their operational environment, architecture, and product implementation.",Schneider Electric Wonderware has identified a stack-based buffer overflow vulnerability in the Wonderware InTouch Access Anywhere Server product. Schneider Electric has produced a security update that mitigates this vulnerability.,CVE-2014-9190,The following Wonderware InTouch Access Anywhere Server versions are affected:,,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Schneider Electric Wonderware InTouch Access Anywhere Server Buffer Overflow Vulnerability,This vulnerability could be exploited remotely.,The successful exploitation of this vulnerability could cause a buffer overflow that may allow arbitrary code execution.,"January 08, 2015 | Last revised: May 28, 2015",ICSA-15-008-02
"The GE Multilink ML800 is subject to unauthorized access via hard-coded credentials. In addition, availability can be impacted through attacks composed of specifically crafted packets to the web server resulting in switch performance degradation. If attacks continue, the web server will be subject to a denial of service. The cross-site scripting vulnerability could inject content into response pages from the web interface, allowing a malicious user to deliver unknown and potentially malicious scripts to other users of the web interface.","This updated advisory is a follow-up to the original advisory titled ICSA-15-013-04 GE MultiLink Switch Vulnerabilities that was published January 13, 2015, on the NCCIC/ICS-CERT web site.","CVE-2014-5418,CVE-2014-5419,CVE-2015-3976",These vulnerabilities could be exploited remotely.,--------- Begin Update A Part 1 of 3 --------,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",GE Multilink Switch Vulnerabilities (Update A),"Eireann Leverett of IOActive has identified three vulnerabilities in the General Electric (GE) Multilink ML800 series managed switches. GE Digital Energy has validated these vulnerabilities through testing and confirms that the issues affecting the ML800 will also affect the MultiLink series of managed Ethernet switches including the ML1200, ML1600, ML2400, ML810, ML3000, and ML3100. GE recommends that its customers upgrade switch firmware and disable the configuration web server to mitigate these vulnerabilities. These vulnerabilities have been publicly disclosed.",The following GE Multilink Ethernet switch is affected:,"January 13, 2015 | Last revised: August 04, 2015",ICSA-15-013-04A
"Impact to individual organizations depends on many factors that are unique to each organization. NCCIC/ICS-CERT recommends that organizations evaluate the impact of this vulnerability based on their operational environment, architecture, and product implementation.",Reid Wightman of Digital Bond has identified an authentication vulnerability in Phoenix Contact Software’s ProConOs and MultiProg applications. KW-Software originally wrote these applications without authentication intentionally.,CVE-2014-9195,The following applications are affected:,,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Phoenix Contact Software ProConOs and MultiProg Authentication Vulnerability,This vulnerability could be exploited remotely.,An exploitation of this vulnerability could allow any network user to interact with the process control and change the ladder logic.,"January 13, 2015",ICSA-15-013-03
"Siemens is an international company headquartered in Munich, Germany.","Siemens has identified authentication vulnerabilities in the SIMATIC WinCC Sm@rt Client application. These vulnerabilities were reported directly to Siemens by Kim Schlyter, Seyton Bradford, and Richard Warren from FortConsult (NCC Group). Siemens has produced an update that mitigates these vulnerabilities.","CVE-2014-5231,CVE-2014-5232,CVE-2014-5233",An attacker with local access could use these vulnerabilities to escalate privileges on the application or the servers with which the application is communicating.,,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Siemens SIMATIC WinCC Sm@rtClient iOS Application Authentication Vulnerabilities,The following SIMATIC WinCC Sm@rt Client versions are affected:,"Impact to individual organizations depends on many factors that are unique to each organization. NCCIC/ICS-CERT recommends that organizations evaluate the impact of these vulnerabilities based on their operational environment, architecture, and product implementation.","January 13, 2015 | Last revised: January 14, 2015",ICSA-15-013-01
Specific products addressed include:,"This advisory was originally posted to the US-CERT secure Portal library on October 14, 2014, and is being released to the NCCIC/ICS-CERT web site.",CVE-2013-2811,This vulnerability could be exploited remotely.,,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",GE Proficy HMI/SCADA DNP3 Driver Input Validation,Independent researcher Adam Crain of Automatak has identified an improper input validation in the DNP3 driver provided by Catapult Software. Catapult and GE have produced a patch that mitigates this vulnerability. GE has tested the patch to validate that it resolves the vulnerability in affected GE Proficy HMI/SCADA products.,The following GE Intelligent Platform software is affected:,"January 13, 2015",ICSA-14-287-01
The vulnerability causes the HART DTM component to crash and also causes the HART service to stop responding. No loss of information or loss of control or view by the control system results from an attacker successfully exploiting this vulnerability.,"This updated advisory is a follow-up to the original advisory titled ICSA-15-008-01 Emerson HART DTM Vulnerability that was published January 8, 2015, on the NCCIC/ICS-CERT web site.",CVE-2014-9191,No known public exploits specifically target this vulnerability.,--------- Begin Update A Part 1 of 2 --------,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Emerson HART DTM Vulnerability (Update A),"Alexander Bolshev of Digital Security has identified an improper input vulnerability in the CodeWrights HART Device Type Manager (DTM) library utilized in Emerson’s HART DTM. CodeWrights has addressed the vulnerability with a new library, which Emerson has begun to integrate. Emerson has tested the new library to validate that it resolves the vulnerability.",The following products use the vulnerable HART DTM library and are affected:,"January 09, 2015 | Last revised: January 30, 2015",ICSA-15-008-01A
"Impact to individual organizations depends on many factors that are unique to each organization. NCCIC/ICS-CERT recommends that organizations evaluate the impact of this vulnerability based on their operational environment, architecture, and product implementation.",Independent researcher Aditya Sood has identified an insecure Java client web authentication vulnerability in the Clorius Controls A/S ISC SCADA server. Clorius Controls A/S has produced an update that mitigates this vulnerability. Aditya Sood has tested the update to validate that it resolves the vulnerability.,CVE-2014-9199,The following Clorius Controls A/S web server is affected:    ,,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Clorius Controls A/S ISC SCADA Insecure Java Client Web Authentication,This vulnerability could be exploited remotely.,The impacted Java client does not have a strong authentication mechanism. The client used an insufficient encoding to pass the credentials. This may allow those with access to the network to sniff traffic and decode credentials.,"January 13, 2015",ICSA-15-013-02
An attacker who exploits this vulnerability may be able to affect the accuracy of the clock.,"This advisory was originally posted to the US-CERT secure Portal library on December 11, 2014, and is being released to the NCCIC/ICS-CERT web site.",CVE-2014-9194,This vulnerability could be exploited remotely.,,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Arbiter Systems 1094B GPS Clock Spoofing Vulnerability,Arbiter Systems has identified a GPS clock spoofing vulnerability in its 1094B clock. Arbiter Systems has produced a new product that is not vulnerable to this type of attack.,Arbiter Systems reports that the vulnerability affects the following:,"January 15, 2015",ICSA-14-345-01
"Impact to individual organizations depends on many factors that are unique to each organization. NCCIC/ICS-CERT recommends that organizations evaluate the impact of these vulnerabilities based on their operational environment, architecture, and product implementation.",Narendra Shinde of Qualys Security has identified multiple vulnerabilities in Schneider Electric’s ETG3000 FactoryCast HMI Gateway. Schneider Electric has produced a firmware update that mitigates part of these vulnerabilities.,"CVE-2014-9197,CVE-2014-9198",The following ETG3000 FactoryCast HMI Gateway’s are affected:,,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Schneider Electric ETG3000 FactoryCast HMI Gateway Vulnerabilities,These vulnerabilities could be exploited remotely.,The vulnerabilities allow unauthorized remote access to the gateway’s files and FTP account.,"January 20, 2015",ICSA-15-020-02
"Impact to individual organizations depends on many factors that are unique to each organization. NCCIC/ICS-CERT recommends that organizations evaluate the impact of this vulnerability based on their operational environment, architecture, and product implementation.",Researcher Jürgen Bilberger from Daimler TSS GmbH has identified a code injection vulnerability in Network Vision’s IntraVue software. Network Vision has produced a new version that mitigates this vulnerability.,CVE-2015-0977,The following IntraVue software versions are affected:,,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Network Vision IntraVue Code Injection Vulnerability,This vulnerability could be exploited remotely.,"Successful exploitation of this vulnerability could allow an unauthenticated user to execute arbitrary operating system commands that could impact the confidentiality, integrity, and availability of an affected server.","February 26, 2015",ICSA-15-057-01
"Impact to individual organizations depends on many factors that are unique to each organization. ICS-CERT recommends that organizations evaluate the impact of this vulnerability based on their operational environment, architecture, and product implementation.","This advisory was originally posted to the NCCIC/US-CERT secure Portal library on October 16, 2014, and is being released to the NCCIC/ICS-CERT web site.",CVE-2014-2355,The following GE product is affected:,,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",GE Proficy HMI/SCADA CIMPLICITY CimView Memory Access Violation,Independent researcher Said Arfi has identified a memory access violation vulnerability in GE’s CIMPLICITY CimView application. GE has produced an update that mitigates this vulnerability.,"If this vulnerability is exploited, it could allow an attacker to execute arbitrary commands on a system running the affected software.","January 15, 2015",ICSA-14-289-02
"Impact to individual organizations depends on many factors that are unique to each organization. NCCIC/ICS-CERT recommends that organizations evaluate the impact of this vulnerability based on their operational environment, architecture, and product implementation.","Siemens has identified an open redirect vulnerability in the SIMATIC S7-1200 CPU family. This vulnerability was reported directly to Siemens by Ralf Spenneberg, Hendrik Schwartke, and Maik Brüggemann from OpenSource Training. Siemens has produced an update that mitigates this vulnerability.",CVE-2015-1048,The following Siemens SIMATIC S7-1200 CPU family versions are affected:,,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Siemens SIMATIC S7-1200 CPU Web Vulnerability,This vulnerability could be exploited remotely.,This vulnerability could allow an attacker to redirect users to untrusted sites under certain conditions.,"January 22, 2015",ICSA-15-022-01
"Impact to individual organizations depends on many factors that are unique to each organization. NCCIC/ICS-CERT recommends that organizations evaluate the impact of these vulnerabilities based on their operational environment, architecture, and product implementation.",Researcher Joel Sevilleja Febrer of S2 Grupo has identified multiple vulnerabilities in Omron Corporation’s NS series human-machine interface (HMI) terminals. Omron Corporation has produced an update that mitigates these vulnerabilities.,"CVE-2014-2369,CVE-2014-2370",The following Omron Corporation products are affected:,,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Omron NS Series HMI Vulnerabilities,These vulnerabilities could be exploited remotely.,Successful exploitation of these vulnerabilities could allow an attacker to modify device configuration and expose sensitive information.,"July 22, 2014 | Last revised: October 01, 2015",ICSA-14-203-01
"Impact to individual organizations depends on many factors that are unique to each organization. ICS-CERT recommends that organizations evaluate the impact of this vulnerability based on their operational environment, architecture, and product implementation.","This advisory was originally posted to the US-CERT secure Portal library on June 24, 2014, and is being released to the NCCIC/ICS-CERT web site.","CVE-2014-2717,CVE-2014-3110",The following Honeywell FALCON XLWeb controller versions are affected:,,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Honeywell FALCON XLWeb Controllers Vulnerabilities,Martin Jartelius of Outpost24 has identified an authentication bypass vulnerability in Honeywell FALCON XLWeb controllers. Juan Francisco Bolivar has identified cross-site scripting vulnerabilities in Honeywell FALCON XLWeb controllers. Honeywell has produced an update that mitigates both vulnerabilities. Mr. Jartelius has tested the update to validate that it resolves the vulnerability that he reported. These vulnerabilities could be exploited remotely.,An attacker may use these vulnerabilities to generate a valid login for an administrative user on the Honeywell FALCON XLWeb controller giving the attacker full administrator access to the system.,"July 22, 2014",ICSA-14-175-01
"Innominate mGuard firmware Versions 7.6.4 patch release, and firmware Versions 8.0.3, 8.1.0, 8.1.1, and higher are not affected.","This advisory was originally posted to the US-CERT secure Portal library on July 8, 2014, and is being released to the NCCIC/ICS-CERT web site.",CVE-2014-2356,This vulnerability could be exploited remotely.,,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Innominate mGuard Unauthorized Leakage of System Data,"The Applied Risk Research team has identified an unauthorized download of system information from Innominate mGuard devices. Innominate has produced a firmware patch that mitigates this vulnerability. This firmware patch has been validated by the Applied Risk Research team, and the original vulnerability research is referenced on at ",The following Innominate mGuard firmware versions are affected:,"July 29, 2014",ICSA-14-189-02
Exploitation of these vulnerabilities may cause the target device to reboot. No packets are forwarded to connected devices until the reboot is completed.,Siemens has identified denial-of-service (DoS) vulnerabilities in the SCALANCE X-300/X408 switch family. These vulnerabilities were reported directly to Siemens by Déjà vu Security. Siemens has produced a firmware update that mitigates these vulnerabilities.,"CVE-2014-8478,CVE-2014-8479",The following Siemens SCALANCE switches are affected:,,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Siemens SCALANCE X-300/X408 Switch Family DOS Vulnerabilities,These vulnerabilities could be exploited remotely.,"Alternatively, the affected products may be identified by using their machine-readable product designation (MLFB). A full list of the affected MLFBs can be found in Siemens Security Advisory SSA-321046.","January 20, 2015",ICSA-15-020-01
"These vulnerabilities allow an attacker to remotely reprogram the firmware on the device. After reprogramming the firmware, an attacker can affect functionality of the application, including system shutdown.","This updated advisory is a follow-up to the advisory titled ICSA-14-007-01A Sierra Wireless AirLink Raven X EV-DO Multiple Vulnerabilities that was published January 16, 2014, on the NCCIC/ICS‑CERT web site.","CVE-2013-2819,CVE-2013-2820",These vulnerabilities could be exploited remotely.,--------- Begin Update B Part 1 of 1 --------,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Sierra Wireless AirLink Raven X EV-DO Vulnerabilities (Update B),"A researcher at Cimation has identified multiple vulnerabilities in the Sierra Wireless AirLink Raven X EV-DO application. Sierra Wireless has discontinued the AirLink Raven X EV-DO and recommends that customers use GX400, GX440, or LS300 as replacements that mitigate these vulnerabilities.",The following Sierra Wireless versions are affected:,"July 23, 2014",ICSA-14-007-01B
